Mol#,Iso#,Wv #,Intensity,Einstein A-Coef,Air Width,Self Width,Lower State E,Temp Dep,Press Shift
1,1,8463.523903,4.46E-26,1.28E+00,0.0176,0.339,2327.8826,0.4,-0.032585
1,1,8463.517875,1.51E-27,1.07E-02,0.0868,0.434,1813.7876,0.71,-0.005958
1,1,8463.168611,1.15E-27,5.28E-05,0.0835,0.371,1045.0578,0.63,-0.024221
1,1,8463.168157,6.25E-27,1.50E-03,0.0188,0.281,1327.1165,0.47,-0.01864
1,1,8463.129356,2.32E-24,2.31E-02,0.0797,0.357,503.9681,0.67,-0.006131
1,4,8462.950413,7.56E-27,5.44E-01,0.0808,0.315,801.6439,0.55,-0.014042
1,1,8462.873581,2.09E-26,5.19E-03,0.0684,0.438,1524.8473,0.47,-0.01401
1,4,8462.455326,2.93E-27,4.33E-01,0.0668,0.315,949.5773,0.55,-0.010412
1,1,8462.250875,6.50E-26,4.87E-03,0.079,0.372,982.9116,0.57,-0.00329
1,1,8461.847486,1.05E-25,1.01E+00,0.0177,0.257,2327.9126,0.4,-0.031852
1,4,8461.801742,2.93E-27,4.37E-01,0.0739,0.315,951.6356,0.55,-0.012286
1,4,8461.798023,5.35E-27,5.10E-01,0.0851,0.315,859.3925,0.55,-0.006082
1,1,8461.532425,1.58E-23,3.56E-02,0.0759,0.412,382.5169,0.69,-0.006712
1,1,8461.42886,1.12E-23,6.02E-02,0.0751,0.434,285.2193,0.71,-0.008955
1,4,8461.421348,1.23E-27,6.66E-02,0.0789,0.315,743.0973,0.55,-0.026255
1,1,8461.316603,1.73E-24,1.95E-02,0.0793,0.423,756.7247,0.63,-0.014844
1,1,8461.232915,6.66E-27,9.26E-02,0.064,0.352,2309.7301,0.61,-0.00813
1,1,8461.211494,1.23E-23,2.58E-02,0.092,0.454,142.2785,0.71,-0.008029
1,1,8461.175671,2.86E-27,3.41E-01,0.0282,0.265,2813.5114,0.44,-0.020216
